date,capital,position,price,total_value,daily_return,cummax,drawdown
2022-09-07,121082.826372,0,4.12,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-08,121082.826372,0,4.1,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-09,121082.826372,0,4.16,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-13,121082.826372,0,4.17,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-14,121082.826372,0,4.13,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-15,121082.826372,0,4.09,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-16,121082.826372,0,4.0,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-19,121082.826372,0,3.99,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-20,121082.826372,0,3.99,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-21,121082.826372,0,3.96,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-22,121082.826372,0,3.93,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-23,121082.826372,0,3.92,121082.826372,0.0,130968.865084,-7.548388470541729
2022-09-26,121082.826372,0,3.9,121082.826372,0.0,130968.865084,-7.548388470541729
